d:,s:,s:,s:h,d:r,s:h,m:,f:,s:,d:,d:,s:h,.:,.:,.:,s:,d:,d:
s:,.:f,f:,.:f,s:,s:h,v:,.:c,s:,d:,s:,.:f,.:c,f:,v:,f:,s:,d:
s:,f:,c:10,.:,s:,m:o,.:,s:,d:,d:,s:h,v:,f:,.:,f:,m:,.:f,s:
s:h,.:,.:,f:a,.:f,f:,s:,d:r,d:,d:,s:,.:,.:,.:r,.:,f:r,f:,s:
d:,s:,s:,m:,.:f,f:,s:,d:,d:,s:,s:,s:,f:,f:,.:,.:,f:,f:
d:,d:,d:,s:,.:f,v:,s:,d:,s:,f:,f:a,f:,f:r,f:,f:a,v:,f:a,f:
d:r,d:,d:,d:,s:,s:h,d:,d:,s:,f:,c:5,f:a,.:c,.:,m:,f:,.:,f:
d:,d:,d:r,d:,d:,d:,d:r,s:,.:,.:c,.:,f:,.:,m:o,m:,.:,.:,.:
d:,d:,d:,d:,d:,s:,d:,s:,f:,f:,f:,f:,f:,.:f,m:,m:,.:,.:
d:,d:,d:,d:,s:,.:f,s:,s:h,.:,f:,.:,f:,.:,.:,c:9,.:,f:,s:
s:,s:,d:,d:w,s:,f:a,s:,s:,v:,f:,.:f,v:,.:,.:f,m:,m:o,s:,d:
.:r,.:,s:,s:,v:,.:,s:,s:,s:h,m:,.:,f:a,.:,.:,m:,.:f,s:,d:
.:,.:f,.:,.:,s:,s:,s:,.:,m:,f:a,.:,.:,.:,.:,v:,f:,s:h,d:
.:,v:,.:,f:,f:,.:,s:h,f:a,c:2,.:,.:,v:,m:,f:,.:,.:,f:,s:
f:,.:,m:,m:,.:,v:,f:,m:,f:,.:,.:,f:a,.:,.:,f:,.:,f:a,.:
s:,s:,s:,.:,f:,.:f,.:,m:,.:,f:a,.:,.:,.:,.:,s:,.:,v:,s:h
d:,d:,d:,s:,f:,.:f,.:,.:,.:,v:,.:,.:,v:,s:h,d:,s:h,s:,d:
d:,d:,d:,d:,s:,s:,.:,m:,.:,.:,f:a,s:h,s:,d:,d:,d:,d:,d:
