d:,d:r,d:,d:,d:,s:,d:,d:,d:,d:,d:,s:,d:,d:,d:,d:,d:,s:h,f:,.:
d:,d:,d:,d:,s:,.:,s:,d:,d:,s:h,s:,.:,s:,d:,d:,d:,s:,f:,v:,f:
d:,d:,d:,s:,.:,.:,.:,s:,s:,.:,.:c,f:,.:,s:,d:,d:,s:,m:,.:,m:
d:,d:,s:h,f:,.:,f:,m:,.:,f:r,.:c,v:,m:,s:h,d:,d:,s:,s:,.:,.:,s:h
d:,s:h,v:,.:,.:f,v:,s:h,.:,.:,.:,f:,m:,s:,d:,s:,.:,s:,s:,s:,d:
s:,.:,f:,f:,f:,.:,s:h,s:h,.:,f:,.:,s:,d:,s:h,.:,f:,.:,.:,s:,d:
s:h,.:,f:,.:,f:r,.:,s:h,d:,s:,s:,s:,d:,d:,s:,.:,v:,.:f,f:,s:,d:
s:,f:,f:,f:,f:,.:,s:,d:,d:r,d:,d:,d:,s:,.:r,.:f,.:c,.:,.:,.:c,s:
s:,v:,.:,m:,f:a,.:c,f:,s:,d:,d:w,d:,s:,s:h,.:,.:,.:,.:,.:c,.:,s:
s:h,f:,s:h,.:,c:6,m:o,.:,s:,d:,s:,s:,.:f,.:,f:,s:,.:f,.:,v:,.:,s:
f:,.:c,m:,m:,.:,.:,f:a,.:,s:h,v:,.:f,.:,v:,s:h,.:c,.:,.:,.:,s:h,d:
s:,f:,.:,f:,f:,.:,.:,s:h,s:,.:,.:,.:,.:,.:f,.:,.:c,.:,m:,.:,s:
s:,.:,.:c,v:,f:,f:,s:h,f:,s:,f:r,.:,.:r,s:h,s:h,s:h,s:,v:,s:h,s:h,d:
s:,f:,m:,f:,s:,s:h,f:,.:,.:,.:,f:,s:,s:h,v:,.:,.:,.:c,s:,d:,d:
d:,s:,s:h,m:,.:c,f:a,s:h,.:,v:,.:,s:,s:h,s:,.:,.:,.:,s:,d:r,d:,d:
d:,d:,s:,f:,.:,v:,s:,s:h,.:c,s:h,.:c,.:,.:,.:,.:,.:,s:,d:,d:,d:
d:,d:,d:,s:,.:,.:,.:,.:c,s:,f:,m:o,c:3,m:,.:,.:,s:h,d:,s:,s:h,d:
d:,d:,s:,f:,.:,.:,.:,.:,v:,.:,.:,.:,m:,.:,v:,s:h,s:,v:,.:,s:
d:,s:,f:,.:,v:,f:,.:,.:c,.:,.:,s:,.:r,s:,.:,s:,d:,s:,.:,.:,s:
d:r,s:,.:c,.:c,.:c,.:c,.:,.:,s:h,s:,d:,s:,d:,s:,d:,d:,d:,s:,s:,d:r
