d:,d:,d:,d:,d:,s:,.:c,.:,s:h,d:,s:,.:,.:r,.:,.:,s:,d:r,d:,d:,d:
d:,d:,d:,d:,s:,.:,v:,f:,s:,d:,s:,.:,.:,.:f,v:,.:,s:,d:,d:,d:
d:,d:,d:,d:,d:,s:h,.:,s:h,d:,s:,f:,.:,m:,.:,.:c,.:,s:,d:,d:,d:
d:,d:,d:,d:,d:,d:,s:,d:,s:,.:,f:,f:,.:,.:,s:,s:,s:,d:,d:w,d:
d:,d:w,d:,d:,s:,s:,s:h,s:,s:,.:c,c:8,f:,f:r,s:,s:,.:,.:c,s:h,d:,d:
d:,s:h,s:h,s:h,m:,f:,.:c,.:,f:,.:c,.:,.:f,s:,s:h,.:,.:c,.:,v:,s:h,d:
s:h,f:,v:,.:,.:r,.:,.:,v:,.:f,.:r,.:,s:,d:w,s:,v:,.:,.:,.:,.:,s:
s:,.:,.:,f:a,.:,.:,.:,.:,.:,.:,s:,d:,d:r,s:h,f:,.:,.:,.:,.:,s:
s:,.:,m:,.:f,f:a,.:,.:,.:,.:f,s:,d:,d:,s:,s:,s:,s:,f:,m:,f:,s:
s:,.:,.:,.:,c:10,m:,s:,s:,s:,d:,d:w,s:,.:,.:,f:,v:,.:,.:,v:,s:h
d:,s:,.:,.:c,m:o,.:f,s:,d:,d:,d:,s:h,.:,f:,.:,.:,s:,.:,.:,s:h,d:
d:,d:,s:,s:,s:,s:,d:w,d:,d:,d:,s:,v:,f:,.:,.:,s:,.:,s:h,d:r,d:
d:,d:w,d:w,d:,d:,d:,d:,d:,d:,d:,d:w,s:,s:h,s:,s:h,d:,s:,d:,d:,d:
d:,s:,s:,s:h,s:,s:,d:,d:,d:w,s:h,s:,.:f,s:,s:h,.:f,s:h,s:h,d:,d:,d:
s:,.:,v:,m:,.:,.:,s:h,s:h,s:,.:r,f:,.:,v:,.:,m:,v:,.:,s:,d:,d:
f:,m:,.:,.:,.:f,.:,.:f,v:,s:h,m:,.:,.:,.:f,.:f,f:,.:,.:,f:,s:h,d:
.:f,f:,.:,f:,.:,.:f,f:,f:,.:,m:,f:,.:,f:,.:f,.:f,s:,m:,.:c,v:,s:h
f:,v:,f:,.:f,v:,.:f,.:,s:h,s:,s:,m:,v:,f:,.:,s:h,v:,s:h,s:h,s:h,d:
.:f,.:f,f:,s:h,s:,s:,s:,d:,d:,d:r,s:h,s:h,s:,s:,s:,.:,.:,s:,d:,d:
s:,s:,s:,d:,d:r,d:,d:,d:r,d:,d:,d:,d:,d:,s:,f:,f:,s:h,d:,d:,d:
