d:,d:,d:r,d:,d:,d:,d:,d:,d:,s:,s:,s:,d:w,d:,d:,d:,d:,d:,d:,d:r
d:,d:,d:,d:,d:,d:,s:,s:,s:,f:,f:a,m:,s:,s:,s:,s:,s:,s:,d:,d:
d:,d:,d:,d:,s:h,s:,.:,.:,f:,s:h,c:4,s:h,s:,f:,m:o,.:,.:c,f:,s:,d:
d:,s:,d:,s:,.:,.:,.:f,.:,.:,.:,.:f,f:,s:,m:,f:,c:0,m:,s:,d:,d:
s:,.:,s:,s:,.:,c:3,.:,.:,f:,.:,f:,s:,s:,m:,.:,f:,.:,s:,d:,d:w
.:f,.:,.:,s:,.:,m:,.:f,.:c,v:,.:,s:,d:,d:r,s:,m:,.:,f:,s:h,s:h,d:
.:,v:,s:,d:,s:h,s:h,.:,.:,.:c,m:,s:,s:,d:,d:,s:,s:,.:,s:h,v:,s:
f:,s:h,d:,d:,d:,d:,s:,s:h,.:f,.:f,f:,.:,s:,s:,d:,s:,.:,.:,f:,f:a
.:,s:h,d:,d:,d:,d:,s:,v:,.:f,f:,c:6,f:a,f:,.:,s:,s:,s:,.:f,f:,f:
s:,d:,d:r,d:,d:,d:,d:,s:h,f:a,m:,.:,.:,.:,.:,.:,m:,.:,s:,v:,s:h
d:,s:,s:,s:,s:,s:,s:,s:,.:,.:,m:,.:,f:,m:,.:,c:9,.:c,s:h,s:,d:
s:,.:c,m:o,.:,f:,.:,.:,s:,s:,f:,f:a,v:,.:,m:r,f:,f:,m:o,f:a,s:h,d:
s:,f:,.:,c:7,.:c,.:,f:,v:,s:h,.:,.:,s:,s:h,s:,s:,f:,m:,f:,v:,s:
s:,.:,.:,.:,.:,f:,.:,f:,.:,s:,m:o,.:c,s:,s:,s:,.:,.:f,.:,f:a,s:h
d:,s:,s:,m:,.:,f:,.:,.:f,.:f,.:f,m:,f:,.:,.:,v:,m:,m:,.:,.:,.:f
d:,d:,d:r,s:,f:,.:,.:r,m:,.:c,c:1,.:c,f:,f:a,.:,.:,.:,.:r,f:,v:,f:
d:,d:,d:,s:,.:,m:o,f:,.:c,m:,f:,.:f,f:r,f:,f:,.:f,.:,.:,.:f,.:f,.:
d:,d:,d:,d:r,s:,f:,v:,.:f,s:,s:,.:,.:,f:,c:10,m:,f:a,f:,m:,m:,s:
d:,d:r,d:,d:,d:,s:,.:,.:c,s:,d:,s:,m:,f:,f:,.:f,.:,.:,v:,.:,s:h
d:,d:,d:,d:,d:,d:,s:,s:,d:,d:,d:,s:,s:h,s:,s:,s:,s:h,s:,s:h,d:
