s:,s:,d:,d:,d:,d:,d:,d:,d:,s:,s:,d:,d:,s:,s:,s:,s:h,d:r,s:,d:,d:,d:,d:,d:,d:,d:,s:h,.:,s:h,d:r
f:,.:,s:h,d:,d:,d:,d:,d:w,s:,.:f,f:,s:h,s:,.:,.:,f:,.:,s:,.:,s:,s:h,d:,d:,s:,d:,d:r,s:h,v:,.:,s:
f:,v:,.:,s:,d:,d:,d:,d:r,s:,v:,.:,f:,f:,.:f,v:,.:f,.:,s:,f:,s:h,v:,s:h,s:,.:,s:h,s:,s:h,.:c,.:f,s:
s:h,s:h,s:h,d:,d:,d:,d:,d:,s:h,f:,.:,s:,s:h,.:,m:,s:h,s:h,s:,m:,.:c,.:f,.:f,.:,.:,.:c,.:,.:c,s:,s:,d:
d:r,d:,d:,d:w,d:w,s:h,s:h,s:,s:,.:c,.:,.:,s:h,s:h,s:,d:,d:,d:,s:,.:,f:,.:,.:,f:,.:,c:3,.:f,s:,d:,d:r
d:,d:,d:,d:,s:,v:,.:c,f:,v:,s:,s:,.:f,v:,f:,s:,d:r,d:,s:,.:,f:,.:,v:,.:f,f:,m:,.:c,.:c,s:h,d:,d:
d:,d:,d:,s:,f:,f:a,.:,.:,f:,s:h,s:,.:,.:,f:a,s:h,s:,s:,m:,.:,.:f,s:h,s:,.:f,.:,.:,.:,s:,d:,d:,d:
s:,s:h,s:,.:,s:,f:,f:,f:,f:a,s:h,s:h,s:,f:,f:,.:c,v:,m:,f:,v:,.:c,s:,d:,s:h,s:h,s:h,s:,d:,d:,d:,d:
.:,.:,v:,.:f,f:,s:h,s:h,v:,f:,.:,v:,.:,s:h,s:h,s:,f:,.:c,f:,f:,.:c,s:h,d:r,s:h,v:,s:,d:,d:,d:,d:,d:
f:,s:h,s:h,s:,s:,s:h,s:h,s:,.:f,f:,f:a,s:,d:,d:,s:,.:,f:,m:,.:,.:c,s:,d:,s:h,.:f,.:c,s:,d:,d:,d:,d:
f:r,s:h,d:,d:,s:,f:,.:,.:,f:,.:,f:,f:,s:,d:r,d:,s:h,v:,.:,.:f,.:c,.:,s:h,s:,.:c,s:h,d:,d:,s:h,s:,d:r
s:,d:,d:,s:h,v:,f:a,f:,v:,f:,.:,f:,s:,d:,d:,d:,d:,s:h,f:a,f:,.:f,v:,s:,d:,s:,s:,s:h,s:h,.:c,.:,s:
d:,s:,s:,.:f,m:,.:,f:,.:,f:a,f:a,.:c,.:,s:,d:,d:,d:,d:,s:,m:,.:,m:,.:c,s:,s:,.:,m:,m:,v:,f:,s:h
s:,f:,.:,.:f,f:,f:,f:,f:,f:a,f:a,c:5,.:,s:,s:h,s:h,d:,d:,d:,s:,.:,.:,f:,f:,s:h,.:f,.:,f:,.:,.:,s:
s:h,.:,f:,f:,v:,.:,.:r,f:,f:,f:,m:,.:,s:h,v:,f:,s:,d:,d:,d:,s:,s:,s:h,s:,v:,.:c,f:a,.:f,.:f,.:,s:h
f:,v:,.:c,f:,s:,s:,f:,.:,f:,f:,s:,s:,s:,f:,s:h,d:,d:,d:r,d:,d:,d:,d:,d:w,s:h,s:h,s:h,v:,f:,.:f,s:
f:,.:,.:,s:,d:,d:,s:,.:,.:c,v:,s:,d:,d:,s:,d:,d:,d:,d:,d:,d:,d:,d:,s:,f:,.:,.:,.:,f:,.:f,s:
s:,s:,s:,d:,d:,d:,s:,.:,.:,.:,s:,d:w,d:,d:,d:,d:r,d:,d:,d:,s:,s:h,s:,s:h,s:h,.:,f:,.:,f:,m:,s:
d:,d:,d:,d:,d:,d:,d:,s:,f:,m:,s:h,s:,s:,s:,s:,s:,d:,d:,s:h,.:,f:,v:,m:,s:h,v:,f:,.:r,.:c,s:,d:
d:,d:,d:,d:w,d:,d:,d:,d:w,s:h,v:,f:,f:r,.:,f:,.:,f:a,s:,s:,v:,f:,m:,.:c,.:f,s:h,s:h,s:h,f:,f:a,f:a,s:
d:,d:,d:,d:,d:,s:,d:w,d:,d:,s:h,.:,.:,f:a,f:,c:9,m:o,s:,d:,s:h,f:,.:,f:,f:,.:,s:,s:,s:h,c:4,.:,s:h
d:,d:,d:,s:h,s:h,v:,s:h,s:,s:,f:a,.:,.:,f:,.:f,m:,f:,s:,d:,s:,.:,f:,.:f,.:,.:,f:,f:,.:,s:h,.:,s:h
d:r,d:,s:,.:,f:a,.:f,f:,.:,s:,s:,v:,m:,f:,s:,s:,f:,.:,s:h,d:,s:,m:,f:,f:,.:c,f:,.:f,f:,f:,s:,d:
d:,d:,d:,s:,m:,.:,f:r,.:,.:,.:,m:,f:a,m:,s:,s:h,m:,v:,s:h,s:,.:f,.:,v:,f:a,f:,v:,m:o,.:,s:,d:,d:
d:,d:,s:,f:,.:,.:,m:,f:,.:,.:f,.:,.:,m:r,.:,s:,s:h,s:h,d:,s:h,.:,m:,f:a,.:,.:c,m:,.:c,s:,d:,d:,d:
d:,d:r,s:h,v:,s:,s:,m:,.:,f:,v:,m:,m:,.:,m:,s:,d:,d:,s:,m:,f:,.:,.:,m:,.:f,f:a,.:,s:,d:,d:,d:
d:,d:,d:,s:,d:w,d:,s:,m:,.:f,s:,s:,s:h,v:,f:,.:,s:,s:,m:r,.:f,f:a,f:,.:,s:,v:,.:,.:,s:,d:,d:,d:
d:,d:,d:,s:,s:,d:,d:,s:,s:,d:,s:h,f:,.:,m:,.:,v:,m:,f:,s:,v:,s:h,s:,d:,s:h,s:h,s:,d:,d:,d:,d:
d:,d:,s:,.:,.:,s:,d:,d:,d:,d:,s:,.:,.:,.:,m:,.:,s:h,s:,d:,s:h,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
d:,d:,s:,m:,.:r,s:,d:,d:,d:,d:,s:,m:,m:,m:o,s:h,s:h,d:,d:,d:,d:,d:,d:,d:,d:r,d:,d:,d:,d:,d:,d:
