d:,d:,d:,d:,d:,d:,s:,s:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
d:,d:,s:,d:,d:,s:h,c:5,.:,s:,d:,d:,d:,d:r,d:,s:,s:,s:,d:
d:r,s:,v:,s:,d:w,s:,f:a,f:a,f:,s:,d:w,d:,d:,s:h,.:,.:c,f:r,s:
d:,d:,s:h,d:,d:,s:,f:,f:a,f:,s:,d:,d:,s:h,s:h,v:,.:c,.:,s:
d:,d:,d:,d:,d:,s:,f:,f:,v:,s:,d:,s:,.:r,f:,f:,m:,f:,s:
d:,d:,d:,d:,s:h,m:,f:,.:,m:,s:,s:h,m:,m:,.:f,f:a,.:,s:,d:
d:,d:,d:,d:,s:h,v:,f:,m:,s:,d:,d:,s:,m:,v:,m:,.:f,c:6,s:
d:,d:r,d:,d:,d:,s:h,.:,s:h,d:,d:,d:,d:,s:,.:,.:c,m:,.:c,s:h
d:,d:,d:,d:r,d:,d:,s:,d:,d:,d:,d:,s:,s:h,f:,f:,m:,.:c,s:
s:,s:,s:,d:,d:,d:w,s:,d:,d:r,d:,s:,.:,.:,f:,.:,.:f,.:,m:
.:c,f:,.:,s:,d:,s:h,v:,s:h,d:,s:,v:,f:a,.:c,v:,f:,f:a,v:,m:
f:,v:,.:c,s:,d:r,d:,s:h,d:,d:,s:h,.:,.:c,.:,.:f,.:,m:,.:,s:
.:,.:c,.:f,.:,s:,d:,d:,d:,s:,.:,f:a,.:,f:,.:,m:o,.:,s:h,d:
s:h,f:,m:,f:,f:,s:h,s:,s:,m:,.:c,c:8,s:h,s:,.:,m:,v:,s:h,d:
s:h,c:4,.:c,.:f,v:,.:f,f:,f:,.:,.:,s:,d:,s:,f:,f:,.:c,s:h,d:
d:,s:,.:f,f:,.:,.:,f:,v:,.:,.:,s:,d:,d:,s:,s:,s:,d:,d:
d:,d:,s:h,.:r,f:,f:,.:,.:c,.:,s:,d:,d:,d:,d:,d:,d:,d:,d:
d:,d:,d:,s:,s:,s:,s:h,s:,s:h,d:,d:,d:,d:,d:,d:,d:,d:,d:
