d:,d:,d:,s:,s:h,s:,s:h,s:h,s:,m:,f:a,m:,s:h,s:h,d:w,d:,d:r,d:,d:,d:
d:,d:,s:h,v:,m:,m:,c:11,.:f,.:,.:,.:,.:,v:,.:,s:,s:h,s:,d:,d:w,d:
d:,s:,.:c,.:,m:,.:f,.:,.:,.:,.:,.:,.:,.:f,m:,.:f,.:,.:f,s:h,d:,d:
d:,s:,.:f,f:,f:,f:,.:,.:,.:f,v:,.:,.:,.:,.:,.:,.:,.:,v:,s:h,d:
d:,s:,.:f,.:,.:,.:c,f:a,f:,.:f,.:,.:f,.:,.:,f:,f:,f:,.:,f:,s:h,d:
d:,d:,s:h,v:,.:f,.:,v:,.:,.:,m:,.:,.:,.:,v:,.:c,.:c,.:,.:,s:,d:
d:,d:,s:,.:,.:,.:,.:,f:,.:,.:c,.:,.:r,.:f,.:,.:,.:c,v:,s:h,d:w,d:
d:,s:,f:,.:,.:,.:,f:,.:r,.:,v:,s:,s:,s:,s:,s:,s:h,s:h,d:,d:,d:
s:,f:a,.:,.:f,.:,.:f,f:,.:,.:,s:h,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
.:f,f:,.:,.:,v:,.:,.:,.:,.:c,s:h,d:,d:,d:,d:,d:,d:,s:h,d:,d:,d:
.:,v:,.:,f:,.:,.:c,f:,.:,.:,v:,s:,s:h,s:h,s:h,s:h,s:,v:,s:h,d:w,d:r
.:f,.:c,f:,.:,.:r,.:,f:,f:,.:f,f:a,.:,m:,v:,.:,.:,s:h,s:,d:,d:,d:
.:,.:,m:,.:,.:c,f:,f:,.:,f:,.:r,f:,m:,.:f,f:,.:f,.:r,s:,d:,d:,d:w
s:,.:,.:,.:,f:,v:,f:,f:,f:,m:,f:,.:f,f:a,m:,.:c,m:,s:h,s:h,s:h,d:
s:,.:,v:,.:,s:,s:h,s:,f:a,v:,f:,f:,v:,m:,f:,v:,f:,f:,v:,f:,s:h
d:,s:,s:,s:h,d:,d:,d:,s:h,s:,s:,.:,.:,.:,.:,m:,m:,f:,.:,.:,f:
d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,s:,.:,.:c,.:,m:,.:r,f:,.:,.:,.:
d:,d:,d:,d:,d:,d:,d:,d:,d:,d:r,s:,f:,.:,.:f,f:,f:,m:,.:,v:,s:h
d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,s:,v:,f:,.:,c:9,m:,s:h,s:h,d:
d:,d:,d:,d:,d:,d:r,d:,d:,d:,d:,d:r,d:,s:,s:h,s:h,m:o,s:,d:,d:w,d:
