d:,d:,d:r,d:,d:,d:,s:h,s:,s:,s:,s:h,s:h,d:w,d:,d:,d:,s:,s:,d:,d:
d:r,d:,d:,d:w,d:,s:h,c:10,m:,.:,f:,.:f,v:,s:h,s:,s:,s:,v:,m:,s:h,d:
d:,d:w,s:h,d:,s:,.:f,.:f,.:,f:,m:,m:,f:,.:c,f:,.:,f:a,.:,f:,f:r,s:h
d:,s:,v:,s:h,.:,m:,m:,m:,.:f,.:,f:,m:r,m:,m:,f:,f:,m:,f:,f:,s:
d:,d:w,s:h,s:,f:,f:,v:,.:f,m:,v:,.:,f:,f:,.:,.:f,.:f,m:,v:,f:,s:
d:,d:,d:,s:,.:,m:,f:,.:,f:a,f:a,.:,f:,f:,.:,v:,.:,.:,.:c,.:f,s:
d:r,d:,d:,s:,f:,m:,f:,m:,.:f,f:,f:,f:a,f:,f:,f:,f:,f:,f:,.:f,s:h
d:,d:,d:,d:,s:,s:h,s:,s:h,v:,f:a,.:f,v:,.:f,.:,.:,.:,.:,f:,v:,s:
d:,d:,d:,s:,v:,s:,d:,d:,s:h,f:,f:,f:,.:c,f:,.:f,.:f,f:,.:,f:,f:
d:,d:,d:,s:h,s:h,d:,d:,s:h,.:,f:,.:,.:,.:,.:r,.:,v:,.:,m:,f:,m:
d:,d:,s:h,m:,s:h,d:,d:,s:,f:r,f:a,f:,f:,.:,.:,m:,f:,f:a,.:f,v:,f:
d:,s:,f:,.:c,.:f,s:,d:,d:,s:,m:,v:,f:,.:f,.:,f:,m:,f:a,.:,f:,s:
d:,s:,f:a,v:,f:,s:,d:,d:,d:,s:,f:a,.:c,f:,f:,f:,v:,.:,f:,.:,s:
s:,f:,.:f,f:a,s:,d:,d:r,d:,d:,d:,s:,s:,s:,f:,.:f,m:,f:,m:,s:,d:
s:,m:,.:,m:,f:,s:h,s:h,s:,s:,d:,d:,d:,s:,.:f,.:,.:,.:,s:,d:,d:
s:,f:,f:,f:,v:,f:,f:r,f:,f:,s:,d:,d:,s:,m:,f:,v:,s:,d:,d:r,d:
s:h,f:,m:,f:,f:a,f:a,f:,f:,f:,f:a,s:,d:,s:,.:,f:,f:a,s:,d:,d:,d:
s:,c:5,f:a,f:,f:,.:,m:o,v:,.:,.:,s:,d:r,s:,f:,f:,.:,s:,d:,d:,d:
s:h,f:a,.:,f:,v:,f:,m:,f:,f:,.:,s:,d:,d:,s:,v:,s:,d:,d:,d:,d:
d:,s:,f:,f:,f:,s:h,s:,s:,s:,s:,d:,d:,d:,d:,s:,d:,d:,d:,d:,d:
