d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:r,d:
d:,d:w,s:,d:w,d:,d:,d:,d:,d:r,d:,d:,s:,s:,d:,d:,d:r,d:,d:,d:,d:
d:,s:h,v:,s:,d:,s:,d:,d:,d:,d:,s:h,f:a,.:,s:,d:,d:,d:,d:,d:,d:
d:,d:,s:,d:,s:,m:o,s:h,s:h,s:,s:,f:,v:,f:,.:,s:h,s:,d:w,d:,d:,d:
d:,d:,d:,d:,s:,f:a,c:0,.:,m:,m:,m:,m:,.:f,f:,.:,.:f,s:,d:,d:,d:
d:,d:,d:,s:,.:,.:,f:,m:,.:f,.:,.:,.:c,.:f,.:f,f:,.:c,c:1,s:,d:,d:
d:w,d:,s:h,.:,.:,.:,f:,f:,.:f,v:,f:a,f:,v:,.:f,f:,.:,.:,.:f,s:,d:
d:,s:h,v:,.:,.:,f:,m:o,m:,m:,f:a,s:h,s:h,s:,f:,m:,.:,.:f,s:,d:w,d:
s:,.:f,.:,f:,m:,.:,.:f,.:,.:,s:,s:h,s:h,s:,f:,.:,.:,v:,s:,d:w,d:r
s:,f:,.:,.:,f:,.:,.:,v:,.:,.:,.:,v:,s:h,.:,f:,f:,f:,s:,d:,d:
d:,s:,m:,.:,f:r,.:,.:,.:c,.:,.:,.:,.:,.:,.:r,f:,f:,m:,.:,s:,d:
d:w,s:,.:f,.:c,.:,.:f,.:,m:,.:,f:r,.:f,.:,m:,f:,f:,.:f,m:,m:,.:,s:
d:,s:,v:,.:c,.:,c:3,.:,.:,s:,s:,s:h,s:,v:,.:,.:f,.:c,v:,.:,f:,f:
d:,d:,s:h,.:c,.:,s:h,s:h,s:,d:,d:,d:r,d:,s:h,.:f,f:,m:,.:c,f:,f:,.:
d:w,d:,d:,s:,s:,d:,d:,d:,d:,d:,d:,d:,s:h,.:,.:,.:,s:,f:,.:,s:
d:,d:,d:,d:,d:,d:,d:,d:w,s:,d:,d:,d:,d:,s:h,s:,s:h,d:,s:,s:,d:
s:h,s:,s:,d:,d:,d:,d:,s:,v:,s:,d:,d:,d:,d:,s:,d:,d:w,d:,d:r,d:
f:,f:,.:,s:,d:,d:,d:,d:,s:,d:,d:,d:,d:,s:,v:,s:h,d:,d:,d:,d:
.:f,c:10,m:,s:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:w,s:,d:w,d:,d:,d:,d:
.:f,m:,.:,s:,d:,d:,d:,d:,d:,d:,d:r,d:,d:r,d:,d:,d:,d:,d:,d:,d:
