f:a,.:,f:a,.:,.:,m:,.:,.:f,.:,.:,.:,m:,f:,.:f,.:,.:
f:,.:,f:,f:a,m:,.:,m:r,m:,v:,f:a,.:,f:,.:f,c:7,.:,f:
f:,c:9,.:f,f:,v:,f:,f:,s:,.:,.:,f:,.:c,f:,m:o,.:,m:
.:f,f:,.:,.:f,m:o,.:,f:r,s:,.:c,.:,.:,.:,.:r,f:,.:,f:
.:,m:,.:,.:f,f:,.:,f:,f:,.:,v:,s:,.:,f:,.:,v:,.:
f:,.:r,.:,v:,f:,.:,v:,.:,.:,.:c,s:,s:,.:,.:c,.:,.:
.:,f:,m:,.:,.:,f:,m:,f:,.:c,m:,.:,.:,m:,f:,f:,f:
.:,.:f,.:,.:,f:,f:,.:f,m:,m:,v:,.:,.:f,f:,.:,f:,f:
s:,s:,s:,f:,.:,v:,.:,.:,m:,.:,f:,.:,.:c,.:c,v:,m:o
f:,s:,s:,.:,.:f,.:,.:,.:,m:,f:,.:,.:,f:r,f:,f:,s:h
f:,v:,f:,.:,.:f,f:,f:,f:a,v:,f:,f:a,.:,.:f,f:a,.:,s:h
.:f,f:,f:,.:f,v:,.:f,f:,s:h,m:,.:f,.:,v:,.:,.:,c:4,s:h
s:,m:,.:r,f:,m:,f:,.:f,f:,.:,.:,f:,f:,.:,.:c,.:,f:
.:,.:,m:,m:,.:,f:a,f:,m:o,f:,f:,.:c,.:,.:,f:,.:f,.:f
f:,v:,f:,s:h,c:10,.:f,f:r,.:,v:,.:,.:c,v:,.:c,f:,v:,.:f
f:,f:,s:h,s:h,.:,.:f,m:,m:,f:,s:h,s:,s:,f:,f:,f:a,.:
