f:,.:,.:,.:c,f:,.:r,.:f,.:f,.:,.:,f:,.:,f:,.:,s:h,f:a
.:,f:,c:11,f:a,.:f,.:,.:,v:,.:f,.:,.:r,m:,.:,f:,c:6,.:
.:,f:,.:f,.:f,.:,m:o,.:,m:,f:,f:,f:,.:,.:c,f:,f:,f:
.:f,.:,f:,.:c,.:,.:,.:,.:,.:,.:,m:,v:,.:,.:,m:,.:r
f:,v:,.:,.:,s:,.:,v:,m:,.:,.:f,s:,s:,f:,f:,.:,f:
.:f,.:c,.:,.:f,s:h,.:,.:f,.:,f:,m:,.:f,f:,f:,f:a,v:,.:c
.:,f:,.:,.:c,s:,.:,.:,f:,.:,.:c,v:,.:f,.:,.:,.:,f:
f:,.:r,f:,.:r,.:f,s:,s:,s:,f:,.:c,f:,f:,f:,.:,f:,.:
f:a,f:a,.:,.:,f:,.:,s:,f:a,.:f,.:,f:,.:,s:,f:,.:,.:f
f:r,.:,v:,.:f,m:,f:,f:,v:,.:f,f:,f:,m:,s:,s:h,v:,f:a
m:,f:,m:,f:,.:,.:,m:o,f:a,f:a,f:,.:,s:h,s:h,f:,.:,m:o
.:,m:,f:,f:,f:,f:,m:,m:,m:,.:,m:,v:,m:,s:,s:,.:
m:o,c:0,m:,.:f,v:,m:,f:,v:,f:,.:f,.:f,.:f,f:,s:,f:,m:
f:,.:f,f:,f:,f:a,f:,f:,.:,m:,f:,f:,f:,.:,.:,.:f,.:f
.:,s:h,s:,.:,f:,m:r,.:,m:,.:,.:,v:,f:,.:,c:10,.:f,f:
f:,m:,s:,.:,m:,.:,.:,m:,m:,f:,.:f,f:,f:,m:,.:,m:
