m:,.:r,.:,m:,.:,.:,s:h,s:h,s:,.:,s:,.:c,.:,f:,f:,f:a,.:,.:
f:,m:,.:f,.:,.:,.:c,.:,c:3,.:f,.:,v:,.:,f:a,v:,f:,s:h,c:4,s:h
.:,.:,.:,.:c,v:,m:,.:,.:f,.:,.:f,.:,.:,.:,.:c,.:,f:,.:,f:a
.:f,v:,.:,.:,.:,f:,.:,.:,.:c,.:,.:,.:,f:r,f:,m:o,s:,.:,f:
.:,.:,.:,.:,.:,.:,s:,.:,v:,.:,.:,m:,f:,.:c,s:,s:,s:h,f:
.:,.:r,.:,.:,s:,.:,.:f,.:c,f:,.:,.:,.:,v:,m:,f:,.:c,v:,.:
.:,.:f,.:,.:,.:f,s:h,s:,.:,.:,.:c,f:,f:,.:,.:f,f:,m:,.:,.:c
f:,.:r,m:,v:,s:,s:,v:,.:,.:,.:,.:,.:,.:f,.:f,f:,f:a,f:,f:
f:,f:,f:,f:,.:,.:,f:,.:,f:,f:,v:,s:h,.:,v:,f:a,.:f,.:f,.:
f:,.:c,f:,.:c,.:,m:,.:,.:r,.:,f:,s:h,s:h,m:o,f:a,m:,.:f,v:,.:f
.:,v:,f:,f:,m:,.:,.:,.:,f:,f:,f:,s:,f:,.:f,m:,s:,m:,m:
f:,.:,.:c,.:r,.:,m:,.:,f:,f:r,f:,f:,f:,m:,c:10,s:,s:,m:,f:
f:,f:,.:f,m:,.:,.:,v:,.:c,f:,.:,v:,f:,.:f,.:,m:o,.:f,v:,m:
.:,f:,c:7,f:,f:,f:,.:,f:,.:,.:f,f:a,f:a,.:f,f:,.:,.:,.:,f:
s:,s:,.:,.:f,f:,.:,f:,.:,.:,f:,f:a,m:,m:,.:,f:,f:,m:o,f:a
f:,f:,f:,f:,.:c,f:,v:,f:,.:r,f:,v:,f:,f:,.:c,m:,m:o,f:,.:
m:,.:,f:,v:,f:,.:c,.:,m:,f:,.:f,m:,s:,f:r,.:f,v:,f:,.:,.:
m:,.:,.:,.:,m:,.:,f:,.:,.:,f:,f:,s:,s:,.:,f:a,.:f,.:f,.:
