.:,.:r,.:,s:,s:,.:,.:,m:,f:a,.:f,.:,m:,f:,f:a,.:,f:,f:,.:f
.:,.:,.:f,.:c,s:,f:,.:c,f:,f:,v:,.:f,f:a,c:5,f:,f:r,f:,v:,.:c
.:,.:c,c:3,.:,s:,.:f,v:,.:,f:,f:,.:,f:,f:,.:f,.:,.:c,m:,f:
.:,s:h,.:,.:,.:,f:,.:,.:,.:c,.:f,f:a,f:,f:a,.:,s:,s:,.:,.:
s:,s:,m:,f:,.:,.:f,.:f,s:,m:o,v:,f:,.:,v:,f:,f:,.:,f:,f:
.:,f:,v:,f:,f:,c:1,s:,.:,s:h,m:,.:,f:,.:,.:,f:a,m:,.:,.:f
f:,m:,.:c,m:,f:,f:a,f:,f:,s:,s:h,.:,m:o,s:h,s:h,f:,v:,f:,f:
.:,m:,.:,.:,f:,.:,.:r,f:,s:,.:,m:,c:0,s:,s:,f:,f:,f:,.:r
m:,.:,.:r,f:,.:f,.:,.:,s:h,.:,m:,.:,m:,f:a,m:,.:,.:,f:a,f:
s:,.:,m:,.:,.:,.:,.:f,s:,.:f,f:,.:,s:,.:r,.:,.:,f:,v:,.:c
s:,.:c,v:,.:c,.:,.:,.:,c:11,f:,.:,v:,.:,f:,f:,f:,f:a,f:,f:
m:,f:,f:,.:,.:,f:,m:,.:c,f:,.:,m:,.:,.:r,f:,.:,f:,f:,f:a
.:,f:,.:c,.:,m:,.:,.:f,.:r,f:,.:,.:,.:,.:,.:,.:,v:,f:,s:
f:,.:,v:,m:,s:,s:,.:,f:,s:,m:,f:,.:,f:a,.:c,.:,f:,.:,s:
.:,.:,.:,.:f,.:,s:h,s:,.:,s:h,f:a,m:,f:,f:a,.:,s:h,s:,.:f,s:
m:,f:,.:,.:,s:h,v:,s:,s:h,c:2,.:,.:,m:,v:,.:f,s:h,c:4,s:h,d:
f:,c:6,.:,s:,s:h,.:,s:h,.:,.:,f:a,.:,.:,.:,.:c,.:c,f:,.:,s:
.:c,.:,.:f,f:,m:r,.:,.:,.:,m:,m:,m:,.:,f:,f:,.:,.:,.:,.:
