.:f,.:,.:,.:c,f:,.:,.:,.:f,m:,.:f,m:,f:,.:,.:,.:,.:,.:f,f:,.:,.:
.:,v:,.:f,.:f,v:,f:,.:,.:,c:3,s:h,.:,.:,.:,.:,m:,.:f,v:,.:c,.:,.:
.:,.:,m:,s:h,.:,.:,.:f,.:,.:,s:,.:,.:c,f:,.:,.:r,.:,.:,.:,.:r,.:
.:,.:,f:,s:,.:f,m:,.:f,.:f,.:,.:f,.:,.:f,v:,m:,.:,.:,.:,.:c,.:,.:
.:f,.:,.:,s:,.:f,v:,.:,.:,v:,.:,.:c,f:,.:c,.:,.:,.:,.:,.:,.:,.:
.:f,f:,.:,s:,.:,.:,.:,.:f,m:,m:,.:,.:,.:,.:,.:,.:,f:,.:,v:,.:c
f:,v:,.:f,.:,.:,.:f,f:,f:,m:,.:f,.:f,v:,m:,.:f,.:c,v:,.:,.:,.:c,f:a
s:,s:h,.:,.:,v:,.:,.:,.:c,v:,s:,s:,.:,.:,.:,.:,.:,.:,m:,s:,f:
s:,m:o,.:,.:,.:c,m:,.:,.:c,.:c,.:,s:h,.:,.:,.:r,.:,.:f,.:,.:r,s:,.:
.:,v:,f:a,.:c,.:f,.:c,m:,f:,.:,m:o,.:,.:c,.:,s:h,.:,f:,.:,.:,s:,.:r
s:h,.:c,.:f,.:,.:r,.:,v:,.:,.:,.:,v:,.:,.:,v:,f:,.:,.:r,.:f,.:,.:f
s:h,m:,.:,.:,.:,f:,f:,.:c,.:c,m:,f:,.:,.:,.:c,.:c,.:,.:,.:,v:,f:
s:,v:,.:,.:,.:,.:,m:,.:f,.:c,.:,.:f,.:,.:,s:,s:,.:,.:,m:,f:,.:
s:h,s:h,f:,f:,.:c,.:f,.:,.:,v:,.:c,s:,s:h,.:c,.:,s:,f:a,s:h,.:,.:c,.:
.:r,s:,.:,f:a,v:,.:,s:,s:h,s:h,.:c,m:,c:8,f:,.:c,v:,m:,s:h,v:,.:,.:
s:,s:,.:,f:,.:,.:c,.:,.:f,.:c,.:,.:,.:,f:a,.:,m:,.:,m:,f:,f:,.:
f:,s:,.:,.:,m:,.:r,f:,.:,v:,.:c,.:,.:,.:,.:c,.:,.:c,.:c,.:,.:,m:r
.:,.:,s:h,m:,f:,.:,.:,f:,.:,.:f,f:,.:c,f:,.:,.:,.:f,v:,.:,.:c,.:
.:,.:,.:,v:,.:,.:,.:,.:,f:,.:c,f:,m:,v:,s:,.:r,f:,m:,f:,.:,.:
.:,.:,.:c,.:,f:a,.:,f:,.:,.:,.:,.:,.:,.:,s:,.:,.:,.:,.:,s:,s:
