.:,.:,s:h,s:,m:,f:,f:,.:,.:f,.:,.:,f:,.:c,f:a,.:f,.:,.:,.:,m:,.:,.:,.:,.:r,.:,.:f,f:,f:,.:,f:,.:
.:,.:,s:h,f:,s:,.:,v:,.:,.:f,f:a,m:,.:,s:,c:1,.:f,f:,.:,m:,f:,.:f,.:,m:,.:,f:,.:f,.:r,.:,.:,.:,.:c
f:,.:,c:9,.:,s:,f:,f:a,.:,f:,v:,.:,f:,s:h,.:f,f:a,m:,f:,.:,f:,v:,.:,.:,.:c,v:,.:,.:,f:,.:f,.:,.:r
.:,f:,m:o,f:,s:,.:,.:,.:,.:,f:,.:f,.:f,m:,f:r,.:,.:c,v:,f:,.:,.:f,f:,.:,.:c,.:f,s:h,.:,f:,v:,.:c,.:
.:,.:,f:,m:,.:f,s:,s:,m:,.:r,m:o,f:,f:,.:,.:f,.:f,f:,.:c,f:,f:,.:r,.:,f:,.:,.:f,s:h,.:f,.:,.:,.:f,m:
.:,f:,m:,v:,f:,f:,f:,.:,m:,.:f,v:,.:c,.:c,v:,f:,f:,.:f,.:,.:,.:,.:f,.:r,.:,f:,c:11,s:,f:,.:,s:,.:
m:,f:a,.:,.:,f:,f:,m:o,f:,m:,f:,.:,.:,.:f,f:,.:,m:,v:,.:f,s:h,.:,.:c,.:c,.:,f:,s:,s:,s:h,f:,s:h,m:
.:,.:f,m:,.:,f:,.:,f:,v:,.:,.:,.:c,m:o,s:,.:,.:f,.:c,.:,.:,s:,.:,.:,v:,f:a,.:,.:,.:,f:,.:,v:,f:
.:f,v:,f:,.:,v:,f:,.:,.:,.:,m:,f:,v:,s:h,.:,.:,f:,f:r,f:,.:,.:,.:,.:,.:,f:,.:,.:,.:,f:,.:c,.:
.:,m:,s:,f:,.:,.:,.:,m:,m:,.:,m:,m:,.:,f:,v:,.:c,f:,m:,f:,f:,.:,f:,f:,f:,s:,s:h,f:,.:,.:,.:
.:,.:,s:h,m:,f:,.:,.:,f:a,v:,.:,s:,.:,f:,f:,.:,f:,f:,f:,.:,.:,.:,.:,.:f,.:,v:,.:,.:f,v:,f:,.:c
f:a,v:,f:,f:,v:,.:,.:,.:,.:,f:,s:,f:r,f:a,.:,.:c,.:,m:,v:,.:,s:h,s:h,v:,.:c,f:,f:,.:f,.:,.:c,.:c,.:c
f:,f:,f:,.:,.:f,.:,.:,.:,f:a,.:r,.:,.:,.:,.:,.:,.:,.:c,.:c,.:,m:,s:h,f:,.:,.:,.:,f:,f:a,.:,.:,.:f
f:,.:,f:,f:,.:c,.:,s:h,v:,f:a,.:,.:c,.:,.:,v:,.:c,.:r,m:,.:,.:,f:,f:a,s:h,f:,m:,f:,f:,.:,v:,f:,.:f
.:,v:,s:,f:,v:,m:,f:,.:c,.:,.:,v:,f:,.:,f:a,s:,.:c,.:c,f:,.:f,.:,m:,c:4,s:h,s:,s:,f:a,.:,m:,.:c,.:
f:a,.:,s:h,.:f,f:,f:a,.:,.:c,.:,.:c,.:,.:c,s:h,s:,d:,s:,.:,.:c,f:,f:a,.:,f:,.:c,s:,v:,m:,f:,.:,.:f,.:r
.:,f:,f:,f:,.:c,f:,f:,f:,.:,f:,m:,f:,s:,.:f,s:,s:,v:,f:a,m:,.:,.:,f:,f:,.:c,.:,.:,f:,v:,.:,.:
f:,.:,v:,f:a,m:,v:,.:c,f:,v:,f:,.:,.:f,c:8,.:,.:,.:,.:,.:,f:,f:,f:a,f:,.:,.:f,.:,.:f,f:,.:,.:,f:a
m:,.:f,m:,f:,.:c,f:,.:,m:,s:,s:h,.:,f:,.:c,m:,.:c,.:,.:,f:,.:,.:,.:,f:,v:,.:f,f:r,f:a,f:,m:,.:,s:
.:c,f:,f:,.:,.:,.:f,.:,f:,s:h,.:,.:,f:a,f:r,.:,.:c,.:,.:,.:f,v:,.:,.:,.:f,.:c,f:a,.:,f:a,v:,f:a,f:,.:
.:c,c:6,s:,.:,m:,v:,.:c,.:,.:,v:,.:c,f:,.:,f:,v:,.:,f:r,.:,.:,.:f,.:,f:,.:,s:,.:,.:c,f:,f:,f:r,f:
.:,.:,s:h,s:,m:,.:c,.:f,s:,.:,f:,.:,f:,.:,m:,.:,.:,m:,.:,s:,s:,.:r,f:,m:,s:h,f:r,f:,.:,f:,f:,.:
.:,.:,.:c,m:r,f:,f:,s:,s:h,.:,s:,s:,.:,.:,m:,.:,.:,f:,v:,.:,s:h,m:,f:a,m:,s:,.:c,s:,s:,s:,f:,f:
f:,v:,f:,.:f,.:f,s:,.:f,.:c,.:,.:,.:,.:,.:,.:f,s:,s:,m:o,m:,.:,.:,f:a,v:,f:,s:,s:,.:,s:h,.:c,v:,f:
.:,.:,f:,.:c,v:,s:,.:,v:,.:f,.:,.:,f:,.:,v:,s:h,d:,s:,.:,.:,m:,.:,f:,f:a,s:,f:,v:,s:h,f:,f:,.:f
f:,f:,.:,f:,f:,.:,.:f,.:,f:,f:,v:,.:,.:,f:,m:,s:,s:,v:,f:,f:,.:,f:,.:,f:,.:,.:c,s:h,f:,f:,f:
f:,v:,m:,.:,f:,.:,.:,f:,.:,.:,.:,f:,f:,f:,m:,s:h,f:,f:,.:,.:,v:,.:,f:r,.:,f:,f:,s:h,.:,f:,f:
.:,.:,.:c,f:,f:,m:,.:,m:,s:h,.:c,.:,.:,.:r,.:,.:,s:h,m:,f:a,.:,.:f,m:,f:,.:,f:,.:,f:,.:,c:5,f:a,.:
.:c,f:,.:,.:,.:,.:,v:,f:,.:,v:,.:,.:,.:,.:f,v:,m:,s:,c:2,.:f,.:,f:,.:,.:c,v:,.:,f:,f:a,f:,.:,f:
.:,m:,.:r,.:,m:,f:a,m:,.:f,f:,m:o,.:,m:,.:,.:f,.:,.:,f:a,.:f,.:,.:,f:,.:,.:,.:c,f:,.:f,.:,f:,.:,f:r
