m:,m:,.:,f:,f:,f:,.:,.:r,f:a,.:,f:,m:,.:r,.:
f:,s:,s:,s:,s:,.:c,.:,.:,s:,v:,f:,f:,s:,.:
m:r,.:,s:,d:,s:,f:,c:5,f:a,s:h,s:,f:,s:,s:,.:
f:,s:h,s:,d:,s:h,f:,f:a,.:,s:,d:,s:,d:w,s:,f:
f:a,v:,f:,s:,s:,f:,f:,s:,d:,d:,d:,d:,s:,.:
.:,s:,.:,f:,s:h,.:f,.:,s:,d:,d:,d:r,d:,s:,.:
f:,f:,s:h,.:,m:o,v:,m:,.:f,s:h,d:,d:,d:,s:,f:
.:,f:,c:4,s:h,m:,f:,f:,f:,v:,s:,d:,s:,s:,.:
f:,.:c,.:,.:c,m:,s:,s:h,s:h,.:,f:,s:,.:f,s:,f:
m:,s:,s:,s:,f:,s:h,d:,d:,s:,s:,s:h,v:,s:,f:
m:,s:,d:,s:h,s:,s:h,d:,d:,d:,d:,s:h,s:h,f:,f:a
.:,.:,s:,f:a,v:,f:,s:,d:,d:,s:,.:,f:a,f:a,f:
f:,.:,f:,.:,s:h,s:h,s:h,s:,s:,f:,.:c,v:,f:,f:
f:,f:,.:,f:,.:c,f:,.:r,.:,.:,f:,.:,.:c,f:,.:
