.:,m:,.:,f:r,m:,.:,.:,.:,.:,.:r,.:,.:,m:,f:
m:,.:,.:,m:,s:,s:,s:,.:,s:,s:,s:,s:,s:,.:
m:,f:a,c:2,f:a,s:,s:,f:,.:,f:,s:,.:,f:a,.:,.:
f:,.:,.:,.:,f:,f:,.:,c:3,.:c,.:,.:c,.:,.:c,.:
f:,f:a,.:f,f:,.:,.:,.:f,f:,.:,s:,.:c,c:8,.:,.:
.:,.:,c:6,f:,.:,s:,.:,c:11,.:,s:,.:,.:f,f:,.:c
.:,f:,.:,m:,s:,s:,.:f,.:,.:,s:,.:,m:,s:h,.:
f:,s:,.:,m:,.:,s:h,s:,s:h,s:,s:h,m:,s:,s:,f:
f:a,f:,f:a,.:,s:,.:,s:,s:,f:,.:,.:c,.:c,f:a,.:r
.:f,f:,c:0,m:o,f:,.:f,.:f,s:,f:a,s:h,c:4,.:c,f:,.:
m:o,f:,f:,f:,f:,c:10,.:,.:,.:,f:,s:h,.:f,f:,.:
.:,f:,f:,.:f,.:,.:f,.:,.:,f:,s:,s:,s:,s:,f:
m:o,v:,s:h,.:,m:,.:r,.:c,s:,s:,s:,s:,s:,s:,.:r
.:,.:,f:,f:,f:,f:,.:,f:,m:,.:,.:,f:,.:,.:
