f:,f:,f:,.:,.:,f:,.:r,.:,.:,.:,f:,f:,.:,f:,m:,.:
.:,v:,s:,s:,s:,f:,s:,s:,s:,s:,s:,s:,v:,.:c,s:,.:
.:,s:h,f:,s:,f:,f:,s:,d:,s:,m:,s:,d:,s:,s:,s:,f:
f:r,s:,f:,s:,.:,v:,.:,s:,s:,f:,f:,s:,s:,f:,s:,.:
f:,s:,s:,d:,s:,s:,f:,s:,s:,f:,.:c,f:,f:,f:,v:,f:
.:,s:h,s:h,d:,s:,s:,f:,s:,d:,s:,.:c,c:7,.:c,s:,f:,f:
m:,s:h,v:,s:h,f:,.:f,f:,s:,s:,.:,f:,.:,m:o,s:,s:,m:
m:r,s:h,.:,.:c,.:f,c:10,f:,s:,s:,f:,f:,s:,s:,s:,v:,f:
.:,s:h,m:,m:o,.:,f:a,f:,s:,.:,m:,f:,s:,d:,s:,f:,.:c
f:,s:,v:,f:,m:,.:,.:f,s:h,m:,c:9,.:f,s:,s:h,f:,s:,f:
.:,s:h,f:,.:,s:,s:h,v:,s:h,.:,.:,m:o,s:,f:r,s:,m:,f:r
f:r,.:,m:,.:c,s:h,s:,s:,d:w,s:,s:,s:h,s:,f:,s:,.:,.:
.:,s:,.:,s:,.:,.:f,f:a,s:,.:,.:,s:h,s:h,v:,s:h,f:a,f:
f:,v:,f:,s:,.:f,c:11,f:,s:,.:f,v:,s:h,d:w,s:h,d:,s:,m:
.:f,s:h,s:h,s:,.:c,.:f,.:f,.:,.:c,.:,s:h,s:,s:h,s:,.:,m:r
.:,m:,.:f,.:,.:,.:,.:c,f:,.:,.:,.:c,.:,f:,f:,.:,.:
