.:,f:,.:f,.:r,.:,.:,f:,.:,.:,f:r,f:,.:,.:,f:,f:,.:
f:,.:f,f:,.:f,f:,f:,s:h,s:,s:,s:,s:,m:r,.:,s:,s:,.:
.:c,v:,f:,.:,c:10,.:f,s:,d:,d:,d:,s:,f:a,s:h,.:,s:,.:r
f:,.:,s:h,f:,m:,f:a,s:,d:,s:,d:,s:,s:h,c:4,.:,s:,f:
.:,s:h,d:,s:,s:,s:,s:h,s:,.:,s:,s:h,.:,.:f,.:,s:,.:
f:,s:,d:,d:r,s:,m:,.:,.:,.:f,s:,f:,.:,m:,m:,f:,m:
f:,v:,s:,d:,d:,s:,.:c,c:8,.:,.:,m:,.:f,f:,s:h,s:,f:
f:a,.:,s:h,s:,s:,s:,.:f,.:,.:,s:,.:f,c:1,f:a,s:,s:,f:
.:c,s:h,f:,f:a,f:,s:h,s:,s:,s:,s:,.:,.:,.:,s:h,s:,f:
.:,s:,.:c,c:5,m:o,.:f,s:,s:h,.:,.:,.:,s:,s:,.:,v:,f:
f:,s:,f:,.:,c:9,m:,s:,s:,.:,m:,f:a,f:a,.:,m:,.:c,.:f
.:,s:,s:,.:f,f:,f:,.:,s:,.:,c:11,c:0,m:,s:,s:,s:h,.:c
f:,s:,d:w,s:,s:,s:h,f:,.:f,.:c,.:f,.:f,m:o,s:h,d:,s:,f:
f:,s:,d:,d:,s:,s:h,v:,s:h,s:h,s:,s:,.:c,.:,s:,s:,.:
m:r,s:,s:,s:,m:,s:,s:,s:h,s:h,v:,.:c,.:c,v:,s:h,f:,.:
.:,.:,f:,f:,.:,.:,.:r,.:,f:,m:,f:,.:,.:,m:o,.:,.:
