.:,f:,f:,.:,.:,f:,f:,.:,m:,f:,m:,.:,f:a,f:,.:c,.:,.:,f:
m:,s:,s:,s:h,f:,.:f,.:,s:h,s:h,s:,s:,s:,m:,s:h,s:,s:,s:,f:
.:,s:,d:,s:h,v:,s:h,.:,v:,s:h,s:,s:,.:,v:,s:h,d:,d:,s:,.:
.:,s:,s:,.:c,.:,s:,s:h,.:,.:f,f:,m:,.:,s:,d:,d:,d:,s:,.:
f:,s:,d:,s:,m:o,s:h,s:h,s:,s:,s:h,.:f,.:f,s:h,d:,s:,s:,s:,.:
f:,s:,d:,d:,s:,v:,.:f,s:h,s:,f:,f:,v:,s:,s:,f:,f:,.:,.:
m:,s:,s:,s:h,s:,s:,f:,s:h,v:,f:a,s:h,s:h,s:,s:,.:,v:,.:,.:
.:r,s:,.:,.:,.:,f:,s:,s:,.:,s:,d:,s:,m:,.:,.:,s:,s:h,.:
f:,s:,.:f,c:1,f:,s:h,s:,d:,s:,d:,d:,s:h,s:,s:h,.:c,s:,f:,.:
.:r,s:,.:,m:,.:f,f:,v:,s:,d:,d:,s:,.:,s:h,d:w,s:,s:,f:,f:
f:,s:,s:,f:,s:,.:,.:f,s:h,d:,s:,d:w,s:,v:,s:,s:,f:r,.:,.:
f:,s:h,v:,f:,.:,.:f,.:f,s:h,s:,v:,s:h,d:w,s:h,d:,s:h,f:,m:,.:c
.:,s:h,m:,.:,s:h,m:,v:,s:h,s:h,.:,s:h,d:,s:h,s:h,.:,v:,.:,m:r
.:,s:,s:,s:,s:h,.:,s:,m:,.:,.:,s:h,s:,.:,s:,s:h,.:,.:c,.:
.:r,s:,d:,d:,d:,s:,.:f,f:,.:f,.:,s:,v:,.:,.:,f:,s:h,.:,.:
f:,s:,d:,s:h,s:,d:r,s:,f:,c:8,f:,s:h,s:,s:,s:,f:,s:h,v:,.:
.:r,s:,s:h,v:,.:,s:,s:,.:,.:f,.:,.:,s:,s:h,s:,s:,s:h,s:h,f:
.:,.:,.:,.:,.:,.:,f:,.:,f:,f:,.:,f:,.:,m:r,f:,.:,m:,m:r
