f:,.:,.:,.:,.:f,.:,.:c,.:,.:c,.:c,m:,f:,f:,m:,f:,f:,.:c,m:
.:,s:,s:,.:f,.:c,.:,.:f,v:,.:,s:,f:,v:,.:,m:r,.:,f:,f:,.:
.:,s:,s:h,.:,c:11,.:,.:f,f:,f:,s:,s:h,s:,s:,f:,f:,c:7,.:c,.:
m:,s:,s:,.:f,.:,f:,f:,s:h,s:h,f:a,.:r,.:,s:,s:,.:,f:,m:o,.:
f:,s:,s:h,s:,s:,s:h,s:,d:,d:,s:,.:,m:o,s:,f:,s:,s:,s:,.:
.:,.:,.:f,.:,f:,f:,s:,s:,s:,.:,f:a,.:,v:,s:,d:,d:,s:,f:
.:f,.:c,c:3,.:,.:r,f:a,f:a,.:,s:,v:,f:,.:,s:,d:,d:,d:,s:,f:
.:r,.:,.:c,.:,.:,f:,c:2,f:,.:,s:,s:,s:,d:,d:r,d:,d:,s:,.:
m:,s:,s:h,.:f,s:,m:,.:,.:,.:,.:,s:,d:w,d:,d:,d:,s:,s:,f:
.:,s:,s:,s:,s:h,.:f,.:r,s:,s:,s:,d:,d:w,d:,d:,s:h,f:,.:r,f:
f:,s:,f:,s:,s:h,m:,s:h,s:,s:h,s:h,s:h,d:,d:,s:,.:,m:,.:f,.:f
.:,f:,s:,.:f,f:,f:,f:a,v:,.:c,f:,v:,s:h,d:,s:,f:,c:1,f:,f:
m:,s:h,s:h,f:,c:10,.:f,.:,.:,f:,.:,m:,.:,s:,s:,f:a,.:f,m:,.:
f:,v:,s:h,.:,.:,f:,s:h,.:,f:,m:,s:h,f:,s:,s:,s:h,.:,f:,.:f
.:f,s:,d:,s:,m:o,.:,.:,f:,.:,.:f,c:4,.:c,.:,.:f,f:,f:,.:,f:
m:,s:h,d:,s:,s:h,v:,s:,s:,s:,.:,s:h,f:,s:,.:f,c:8,.:,s:,f:
.:,v:,s:,f:a,s:h,s:h,s:h,s:h,s:,s:,s:,s:,f:,f:,.:,f:,s:,.:
f:,f:,f:a,m:,f:,.:,f:,m:,m:r,f:,f:,f:,.:,.:,.:r,.:,.:,.:
