.:,.:,m:,f:,.:,f:,.:,.:c,f:,m:,f:,m:,f:,f:,m:,.:r,.:c,f:,f:,.:
.:,s:,s:,s:,s:h,s:,s:,s:h,s:,s:,s:,s:,s:,s:,s:,s:,s:,s:,m:,f:
.:,f:,s:,m:,f:,s:,v:,.:,.:,s:,f:,s:,d:,d:,s:,f:,.:,v:,.:f,.:r
m:,f:,f:,.:,f:,.:c,f:,s:,f:,v:,s:,m:r,s:,d:,d:,s:,f:,f:,s:h,m:
f:,v:,f:,m:,s:,.:,.:,s:,s:,s:,d:w,s:,d:,d:,d:,s:h,m:,.:,s:,.:
f:,.:,f:,f:,s:,s:,.:,s:,.:,f:,s:,d:,d:,d:,s:,f:,.:,v:,.:f,f:
.:,.:,s:,f:,s:,s:,f:,f:,.:,v:,.:,s:,d:,d:,s:,.:,m:,s:h,s:h,.:
.:,s:,d:,s:,s:,v:,.:,s:,s:h,s:,.:,.:,s:,d:,d:,s:,s:,s:,s:,.:
.:,s:,d:,d:,d:w,s:,s:,.:,s:,.:,f:,s:,d:,s:,d:,d:,s:,.:,s:,m:
f:,s:,d:,d:,d:,d:,s:,.:,s:h,s:,s:,.:,s:,f:,s:,s:,d:w,s:,s:,f:
.:,s:,s:,s:,d:,d:r,d:,s:,.:,m:,m:o,.:f,m:r,.:,f:,v:,s:h,d:,s:,f:r
.:,.:,.:,.:,s:,s:,s:,s:,f:,v:,s:,s:,s:,.:,.:f,.:f,f:,s:h,s:h,m:
f:,m:o,c:7,f:,.:,v:,m:,f:,s:,.:,f:a,s:,v:,f:a,.:,f:,.:,f:,v:,.:f
.:,f:,.:c,f:,.:c,s:,s:,s:h,.:,s:,.:f,f:,s:,s:,.:,v:,s:h,.:,m:,f:
m:,.:,.:r,s:,s:,d:,d:,s:,v:,.:c,.:,f:,s:,d:,s:h,s:h,d:,s:h,m:o,f:
m:,.:,s:,d:,s:,d:,d:,s:,.:f,s:,s:,s:,d:,s:,f:,.:,s:,.:,.:r,f:
f:,v:,f:,s:,f:,s:,d:,d:,s:,d:,s:,f:,s:,d:r,s:,f:,.:,f:,m:,f:
f:,s:,.:c,.:,v:,s:,d:,d:r,s:,s:,.:,s:h,s:,d:,s:,.:,f:a,c:10,.:f,.:
f:,s:,s:,s:,f:,s:,s:,s:,.:,s:,s:,m:,v:,s:,s:,s:h,.:f,f:,.:,.:
f:,.:,m:,.:,f:,m:,.:r,.:,.:,f:,.:,.:f,f:a,.:,f:,f:,f:,m:,f:,.:
