.:r,f:,f:,.:,m:,f:,f:,f:,f:,.:r,.:,.:,f:,f:,m:,.:r,.:,f:a,m:,.:r
.:,s:,s:,s:,s:,s:,s:,.:,s:,s:,s:,f:,s:,s:,s:,m:,f:,v:,s:h,m:
.:,s:,s:,.:,s:,d:,s:,s:,d:,s:h,.:,.:f,f:a,s:h,d:r,s:,.:,m:,.:,.:
.:,s:,d:,s:,m:o,s:,m:,s:h,s:h,v:,.:,s:h,v:,s:,s:,m:o,.:,m:,m:,.:
.:c,v:,s:,s:,s:,d:w,s:h,d:,d:,s:h,s:h,m:,s:,s:,s:,f:a,c:9,.:,f:,m:
.:,s:h,.:,.:,s:,s:h,v:,s:h,d:,s:h,.:,s:,f:,.:,m:,.:,m:,f:,.:,.:
.:,s:,s:,.:c,.:r,s:,.:,s:,s:h,v:,s:h,d:,s:h,s:h,.:f,f:,.:,.:,s:,f:
.:,s:h,v:,s:h,m:,s:h,s:h,d:,s:h,f:,s:,s:,v:,s:h,s:,m:,f:,s:h,s:,.:
f:,s:h,s:h,.:,.:,v:,f:,s:h,d:,s:,d:r,s:h,s:h,s:,d:,s:,s:,s:h,v:,f:
.:,s:,s:,f:,m:,m:,.:,s:h,s:,d:,s:h,f:,f:a,.:c,s:h,s:h,f:,s:h,s:,f:
f:,f:,s:,s:,s:,s:,s:,.:,v:,s:h,s:h,v:,f:a,.:f,v:,s:h,m:,f:,s:h,f:
.:r,.:,m:,v:,s:,d:,d:,s:h,s:h,.:f,.:,s:h,s:h,s:h,s:,d:,s:,v:,s:h,f:
.:,s:,s:,s:h,d:,d:,d:,s:h,.:,m:,s:,d:,d:,d:,s:,d:,d:w,s:h,s:h,f:
.:,s:,d:r,s:,s:,d:,s:,.:f,.:c,.:,s:,d:,d:,s:,.:,s:h,s:h,.:,.:,f:
.:,.:,s:,.:,.:r,s:,f:,.:,c:8,.:c,s:,d:,d:,s:h,m:,.:,f:,s:,v:,f:
.:,v:,.:,.:,.:c,s:h,f:,f:,.:,.:,s:,s:h,d:,s:h,v:,f:,s:,s:,.:,f:
m:o,s:,.:c,.:,.:,v:,s:h,s:,s:,s:h,.:c,v:,s:h,d:,s:h,.:,s:,d:,s:,.:c
.:c,s:,s:,s:,m:,m:o,s:,s:,d:,s:,s:h,s:h,d:,d:,d:,s:,d:,d:,s:,.:
.:,s:,s:,s:,s:,s:,s:,.:,s:,.:,.:,.:,s:,s:h,s:,s:,s:,s:,s:,f:
f:,.:r,.:,.:,.:,.:,.:,.:,.:,m:,.:,.:,.:,m:,.:,.:,m:,.:,.:,f:
