.:,.:,f:,.:,.:,.:,f:,f:,.:,f:,f:,m:,.:r,.:,f:,f:,.:,f:,f:,.:
.:r,.:,.:,s:,s:h,s:,s:,s:,s:,s:,m:,s:,s:,s:,s:,s:,.:,.:,f:,m:r
f:,.:,v:,.:,s:,d:,d:,d:,d:,s:h,.:,f:,.:,s:h,s:,.:,m:,f:,.:,f:
.:,s:h,.:c,.:,s:,s:,s:,s:h,s:,f:,.:f,c:10,f:,s:h,d:r,s:,.:,v:,f:,.:f
m:,s:h,s:h,.:c,f:,.:,.:,.:,s:,f:a,.:,.:,.:f,s:,s:,m:,.:,.:f,m:,f:
.:,s:,s:,.:,.:,c:8,.:f,s:,s:,.:,.:,f:,s:h,f:,s:,s:h,m:,.:,.:,.:
f:,s:,s:,.:c,.:c,.:,.:,.:,.:,f:,f:,f:,f:,.:,s:h,f:a,v:,s:,s:,.:
m:,s:,f:,.:,.:,f:,.:f,s:,.:,.:,.:f,.:,.:,v:,s:,s:h,s:h,s:,.:,.:
f:,.:,s:,.:,v:,f:a,s:h,s:,s:,v:,s:h,f:,.:,s:,d:,s:,d:,s:h,.:,.:
f:,s:,d:w,s:,s:,s:,s:,.:r,m:,s:h,s:h,.:,.:,.:,s:,m:,s:,v:,f:,.:
f:,v:,s:,s:,s:,.:r,s:,s:h,s:h,d:,d:r,s:h,s:,.:,s:,s:,s:h,.:,.:,m:
.:,f:,.:,.:,s:,m:,s:,d:,s:h,s:h,d:,s:,s:,s:h,s:,s:,.:,f:,f:,.:
.:,s:,f:a,s:h,d:w,s:,d:,s:,.:c,f:,s:,.:,.:,f:,f:,v:,s:,s:,s:,f:
f:,s:,f:,v:,s:,d:,s:,f:,.:c,v:,s:,f:a,c:2,f:,.:,.:,s:h,.:,s:,f:
.:r,s:,s:h,s:,d:,s:,m:,.:,m:,s:,.:,.:f,f:,f:a,.:,s:,s:h,m:,s:h,f:r
f:,s:,d:,d:,s:,m:,f:a,.:c,s:,s:,.:,m:,s:,s:,s:,s:h,f:,v:,s:h,m:
f:,s:,d:,s:h,m:,m:o,c:0,m:o,m:,.:,s:,s:,d:,d:,s:,.:,.:,.:,m:,.:
m:,s:h,d:,d:,s:,f:,m:,f:,s:,v:,f:a,.:,s:,d:,s:h,.:,m:,f:,s:,f:
m:,v:,s:,s:,s:,s:,s:,s:,s:h,s:h,m:,s:,s:,s:,.:,v:,s:h,s:,s:,m:
f:,m:,.:,m:,f:,m:,m:,f:,.:,.:r,f:,.:f,m:,f:,m:o,.:,f:,f:r,f:,.:
