.:,f:,f:,m:,.:,.:,f:,.:,f:,.:r,.:,f:,f:,f:,.:,f:,f:,.:,f:r,f:a,.:,.:r,m:,.:,f:,.:,.:,.:,.:,.:
f:,s:,s:,s:h,.:,f:,s:,s:h,s:,s:,s:,s:,f:,m:,m:,.:,s:,s:,s:,s:,.:c,f:,s:h,s:h,s:,s:,m:,.:,m:,f:
m:,s:,d:,s:h,v:,s:,d:,d:,d:,s:,d:w,d:,s:h,v:,.:c,.:,s:,d:,d:,s:,.:c,v:,s:h,d:w,d:,s:h,s:h,c:4,s:h,.:
.:,s:h,d:,d:,s:h,d:w,d:,d:,s:h,v:,s:,s:h,m:,.:c,m:,m:,.:,s:,d:,d:,s:,s:h,d:w,d:,d:r,s:h,f:,.:,f:,f:a
.:c,v:,s:h,d:,d:,s:,d:,s:,s:h,s:,s:,.:,s:,f:,.:,.:f,s:,s:h,d:,d:,d:,d:,d:,d:,d:,d:,s:,f:,m:,.:
f:,s:,s:,d:,s:,m:r,s:,.:,.:,m:,m:,f:,f:,.:f,c:1,f:,s:h,v:,s:h,s:,s:,d:,d:,d:,d:,d:,s:h,v:,s:,.:c
f:,s:,m:,s:,d:,s:,d:,s:,s:,s:h,s:h,s:h,s:h,.:c,m:,m:,s:h,s:,f:,m:,v:,s:,d:,d:,d:,d:,s:,f:,.:,.:
f:,s:,.:,s:,s:,d:,d:,s:,.:f,s:,v:,s:h,d:,s:,s:h,.:,s:,.:f,m:,.:f,.:c,s:h,d:,d:r,d:,d:,s:h,m:,f:,.:c
.:,f:,f:,.:,f:,s:,d:r,d:,s:,s:,f:,f:,s:,d:,d:,s:h,d:,s:,f:,s:h,s:,d:w,d:,d:,d:,d:,d:,s:h,v:,m:
.:,.:,.:f,v:,.:,s:,d:,s:,.:c,s:,s:,f:,s:,d:,s:,f:,s:,d:,s:,s:h,v:,s:,d:,d:,d:,d:r,s:,f:,m:,f:
m:o,f:,.:,s:,.:,s:h,d:,s:h,.:f,v:,s:h,s:,d:,s:,v:,s:h,d:,s:,s:,s:h,s:,.:,s:,d:,s:,s:,f:,s:,s:,f:
f:a,.:,f:,s:,s:,d:,s:h,f:,s:h,s:h,d:,d:r,d:,d:,s:h,d:,s:,v:,f:,f:a,f:,f:,.:,s:,f:,s:,v:,s:h,s:,f:
f:,v:,m:,s:,d:,s:h,v:,s:h,d:,s:,d:,d:,d:,d:,d:,d:,d:,s:,m:,s:h,f:,m:,.:c,.:,.:,s:,s:h,d:,s:,.:
f:,.:,f:a,s:,d:,d:w,s:h,d:,s:h,v:,s:,d:,d:,s:h,s:,d:,s:h,f:,s:,d:,s:,v:,.:f,s:,s:,s:,d:w,s:,.:,.:r
f:,.:,s:h,d:w,d:,d:,d:,d:,s:h,s:,d:,s:,s:h,v:,.:f,s:h,s:h,s:,s:,s:h,f:,s:h,s:h,d:,s:h,v:,s:h,d:,s:,.:
.:,f:,v:,s:,d:,d:,d:,s:,.:c,s:h,s:h,f:,f:a,s:h,s:h,f:,.:f,v:,.:,.:,f:,s:,d:,s:,s:,s:,s:h,d:,s:,m:r
m:,s:h,.:,f:a,s:,d:,s:,f:a,.:,v:,s:,s:,s:,d:,d:,s:h,s:h,.:f,.:,f:,.:,v:,s:,f:,.:r,.:,.:,s:,s:h,m:
f:,s:,s:,s:,s:,s:,s:h,.:,f:,f:,m:,s:,f:,s:,s:h,d:,d:,s:,s:,.:,f:,s:,s:h,f:,f:,.:c,v:,.:,.:,.:
f:,s:,s:,.:,f:,.:f,s:,s:,f:,.:f,.:c,s:h,s:,s:,v:,s:,d:,d:,d:w,s:,.:c,.:,.:,m:,f:a,.:f,f:,s:,s:,f:
f:,s:,s:h,.:c,v:,f:,s:,d:,s:,f:a,v:,f:,s:,d:,s:,d:w,d:w,d:,s:h,v:,s:,m:,f:,v:,f:,s:h,f:,s:h,s:,f:
.:,.:,f:,.:,s:h,s:,m:,s:,.:,f:a,s:h,s:,.:,s:h,d:,d:,d:r,s:,.:,.:f,s:,s:,s:,s:h,.:c,m:,v:,.:,s:,f:
.:,f:,.:,s:,s:,f:,f:,s:,s:,.:,f:,s:h,.:,s:h,d:r,d:,d:,s:h,m:,m:,s:h,.:,s:,d:,s:,f:,.:f,.:f,s:,.:
f:,f:,f:r,s:,d:,s:,.:,s:,d:,s:,s:,f:,v:,s:h,d:,s:,s:,s:h,v:,s:,s:,v:,s:,s:,s:,f:,f:,.:,s:,m:
.:,.:c,s:h,d:,s:,f:,.:c,f:,s:h,s:,s:,s:,f:,f:,s:h,v:,f:,s:h,s:h,s:h,m:o,.:,s:h,f:,.:,f:,v:,f:,.:,m:
.:,v:,f:a,s:,s:,f:a,c:5,f:a,m:,v:,.:,s:,s:,.:r,m:o,f:,f:,f:,s:,s:,.:,f:,s:,m:o,s:,s:h,m:o,m:,f:,.:
f:,s:,f:,s:,s:,.:f,f:,f:,m:,s:,s:h,.:c,m:,m:,s:h,f:r,m:,m:o,m:,s:,m:,s:,d:w,s:h,s:h,f:,s:,s:,f:,m:
f:r,s:h,s:,f:,.:,s:,s:,s:,f:,s:h,s:h,s:h,s:,v:,s:h,s:,m:,c:0,f:,.:,f:a,v:,s:,s:h,v:,s:h,d:,s:h,.:,f:
.:,s:,s:,v:,.:c,f:,m:,f:,s:h,s:,v:,s:,d:w,s:,d:w,s:,.:c,f:,f:,s:,s:h,s:,d:w,s:h,f:,s:,s:,f:,v:,m:
m:,s:,s:,s:,s:h,m:,f:,v:,.:,f:,f:,s:,s:h,s:h,s:,s:,s:,s:,s:h,f:,s:,s:,s:h,s:,f:,s:h,s:,s:,m:o,f:
f:,f:r,.:,f:,m:r,f:,f:,f:,f:,.:,f:,f:,.:r,.:,.:,.:,f:,m:,f:,m:,.:,.:,f:,.:,.:,.:,f:r,f:,.:,m:r
