d:,d:,d:,d:,d:,d:,d:,s:h,f:,.:,.:,s:h,d:,d:
d:,d:,d:,s:,d:,d:,s:h,v:,.:,.:,v:,s:h,d:w,d:
d:,d:r,s:,v:,s:,d:,s:h,f:,.:,.:,.:,s:,d:,d:
d:,d:,d:,s:h,d:,d:,s:,.:,.:,f:a,s:h,d:r,d:,d:
d:,s:,s:,s:,s:,s:h,s:,m:,f:a,c:2,s:,s:,s:,s:
s:h,.:f,.:,.:,.:,.:c,.:r,.:,.:,m:,f:,.:,m:,.:
s:h,c:3,.:c,.:,.:,.:,f:,m:,.:,.:,m:,.:f,v:,.:
s:,.:f,.:,f:,m:,.:f,v:,.:f,m:,.:,.:,.:,.:,.:
d:,s:,s:,.:c,.:,.:,f:,.:,.:,v:,.:,s:,s:,s:
s:h,.:f,v:,.:,f:,.:c,.:,.:r,f:,.:,s:h,d:,d:,d:
s:,.:f,.:,.:,s:h,s:h,s:h,.:,f:,s:h,d:,d:,d:,d:
s:,.:,.:,m:,.:,v:,.:c,s:,s:,d:,d:,d:,d:,d:
d:,s:,s:,s:,.:c,f:,.:,s:,d:,d:,d:,d:,d:r,d:
d:,d:,d:,s:,f:,.:,.:,s:,d:,d:,d:,d:,d:,d:
