d:,d:,d:w,d:,d:,d:r,d:,d:r,d:,d:,d:w,s:h,s:h,f:r,.:,f:,s:,d:w
d:,s:,s:,s:,s:,s:,s:,s:,d:,d:,s:h,c:11,.:f,.:,f:a,.:f,s:h,d:
s:,f:a,c:5,f:,f:a,f:,f:,.:,s:,d:,s:h,.:f,.:,f:,f:,c:1,.:f,s:r
d:,s:,.:f,f:a,f:,v:,.:f,.:,.:r,s:,s:h,m:,f:,f:,s:,s:h,s:,d:
d:,s:h,f:,.:,m:,.:,m:,.:,.:f,f:,.:,f:,.:,f:,.:,.:,s:h,d:
d:,d:r,s:h,f:,f:,f:,.:,f:,.:f,v:,.:c,.:c,m:,.:f,.:f,m:,s:h,d:
d:,d:,s:h,c:6,f:,.:,v:,.:,f:,m:o,m:,f:,v:,m:,.:c,c:4,s:h,d:
d:,d:,d:,s:,.:,f:,.:,.:c,f:,f:,f:,f:,f:,s:,s:h,s:h,d:w,d:
d:,d:,d:,s:,.:,.:,.:,.:,.:,.:,.:,.:f,s:,d:,d:,d:,d:,d:
d:,d:,d:,s:,.:,f:a,.:,.:,.:,.:,.:,c:7,s:,d:,d:,s:h,s:,s:
d:,d:,d:,s:h,v:,.:,.:,v:,.:c,.:,m:o,.:,.:f,s:,s:,m:,f:,.:r
d:,d:r,s:,.:f,.:f,.:,.:,m:,f:,.:,f:,.:,s:,d:,s:,v:,.:f,m:
d:,d:,s:,.:f,.:f,.:,.:,f:,f:,.:f,s:h,s:,s:,s:h,s:,.:,f:a,f:
d:,d:,s:,c:10,f:,f:,f:,f:,.:,v:,s:,s:,.:,.:,f:,s:,s:,s:
d:,d:,s:,f:,.:f,f:a,v:,f:,s:,s:h,d:,s:h,c:2,f:a,.:,s:,d:,d:
d:,d:,d:,s:,m:,m:,.:,s:,d:r,d:,d:,s:,f:,f:a,.:,s:,d:,d:
d:,d:,d:,d:,s:,s:h,s:,d:,d:,d:,d:,d:,s:,s:,s:,d:,d:,d:
d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
