s:,s:,s:h,s:,d:,d:,d:,d:,d:,d:,d:,d:r,d:,d:,d:,d:,d:,s:h,s:h,s:h
.:,f:a,c:5,f:a,s:h,s:,s:,s:,s:,s:,d:,d:,d:,d:,d:,d:,s:,.:c,c:4,.:f
f:,.:,.:,s:h,.:,v:,.:,m:,c:7,m:o,s:,d:,d:,d:,d:,d:,s:,f:,.:,.:f
.:,f:,.:,s:h,f:,f:,f:,f:,f:,.:c,.:,s:,d:,d:,d:,d:,s:,.:,f:,.:
s:,s:,s:,s:,.:,.:,f:,f:,f:,.:c,f:,s:,s:,s:h,d:,d:,d:,s:,s:,s:
d:,d:,d:,d:,s:,.:,v:,.:c,.:,v:,.:,.:,v:,f:,s:,d:,d:,d:,d:,d:
d:,d:,s:h,d:,s:,.:c,.:,m:,.:,.:c,f:,f:,f:,m:,m:,s:,d:,d:,d:,d:
d:,s:h,v:,s:,d:,s:,.:,.:,.:c,f:,.:,f:a,.:,f:,f:a,m:o,s:,d:,d:,d:
d:,d:,s:h,d:,d:,d:,s:,c:3,.:,.:,.:,v:,f:,.:,c:9,s:h,d:,d:,d:,d:
d:,d:,d:,d:,s:,s:h,.:,.:c,.:c,.:,m:,m:o,f:,.:,.:,s:,d:r,d:,d:,d:r
d:,d:,d:r,s:h,.:,.:,.:,.:,.:c,.:f,.:f,f:,.:,f:,f:r,s:,d:,d:,d:,d:
d:,d:,s:,.:,v:,.:c,.:c,.:r,.:,v:,.:c,.:c,f:,.:,f:,s:,s:,d:,d:,d:
d:,d:,s:h,.:f,.:,.:,.:,m:,.:,.:c,f:,.:,.:,f:,s:,s:,v:,s:,d:r,d:
d:,s:,f:,m:,m:,m:r,.:,.:,m:,.:,.:,.:,v:,s:,d:,d:w,s:,d:w,d:,d:
d:,s:,f:a,.:,f:a,.:c,.:,.:,v:,.:,m:,.:,m:,s:,s:,s:,s:,d:,d:,d:
s:,s:,.:f,f:,v:,.:,.:,s:,s:h,s:h,s:,s:,s:,s:,m:,.:,.:,s:,d:,d:
.:,.:,m:,s:,.:f,m:,s:,s:,.:f,.:,.:c,s:,d:,s:h,.:c,.:,f:a,s:,d:,d:
.:,f:,f:a,.:f,.:f,s:,d:,s:,c:11,.:f,.:r,s:,d:,s:,.:,c:8,.:,s:,d:,d:
.:,.:,m:,c:10,s:h,d:,d:,s:h,.:,.:,.:,s:,d:r,s:,.:,f:,f:,s:,d:,d:r
s:,.:,f:a,.:,s:h,d:,d:,d:,s:,s:h,s:,d:,d:,s:,.:,.:,m:,s:,d:,d:
