d:,d:,d:,d:,d:,d:,d:,s:,s:,s:,d:,d:,d:,d:
d:,d:,d:,d:,d:,d:,s:,.:,.:f,.:f,s:,s:h,s:,s:
d:,s:,s:h,s:,d:,d:w,s:,v:,f:,m:,f:,v:,.:,f:
s:h,.:,.:,f:,s:,s:h,s:,f:,.:,.:,f:,f:,f:,.:
s:,.:,v:,f:a,.:,f:r,.:,f:,s:,.:,.:f,f:,.:,m:r
s:h,f:a,f:,.:f,.:f,.:f,.:f,m:o,s:,f:,.:f,c:1,.:f,.:
d:r,s:h,s:,.:,.:f,c:10,m:,f:a,v:,.:f,.:c,.:c,f:,f:
s:,m:,m:,.:f,.:f,f:,f:,.:f,f:,.:c,.:c,.:,.:,.:
s:,.:f,v:,f:a,.:f,m:,.:,.:,.:,.:,.:,s:,s:,s:
s:,.:,.:,f:,m:,f:,s:,m:o,.:,m:,s:,d:,d:,d:
d:,s:,.:f,m:,f:,.:,.:,.:,.:,v:,s:h,d:,d:,d:
d:,s:h,v:,.:,f:,m:,v:,s:h,s:,s:h,d:,d:,d:,d:
d:,d:,s:,s:,.:,m:,.:f,s:h,d:,d:,d:r,d:,d:,d:r
d:,d:,d:,d:,s:,s:,s:,d:,d:,d:,d:,d:,d:,d:
