d:,d:,d:,d:,d:,d:,d:,d:,d:,s:,m:,f:,f:,s:
d:,s:,s:,s:,s:,s:,s:,s:,d:r,s:h,f:,f:a,m:,s:
s:,.:,f:a,.:r,.:,.:,m:,.:,s:h,s:h,m:,v:,.:,s:
s:,.:,.:,m:,.:,.:f,.:,.:f,s:h,f:,m:,m:,.:f,f:
s:,.:r,.:,.:,c:11,f:,.:,v:,s:h,m:,m:,.:f,f:,m:r
d:,s:,m:,.:f,f:,.:c,.:,s:,f:,f:,.:c,c:0,m:,f:
s:,.:,.:,.:,.:,.:,f:,.:,f:,.:,f:,m:o,.:c,m:
s:,.:,m:,m:,.:f,f:,.:,.:f,m:,m:,m:,f:,.:f,.:
s:,m:,.:,c:3,.:c,.:,.:f,v:,f:,.:,.:f,f:,.:f,.:
s:h,.:,.:c,.:,.:,.:f,.:,.:c,m:,.:,.:,c:1,f:,.:f
s:,.:,.:c,.:,.:,.:,s:,s:h,s:h,f:,f:a,f:,.:c,f:
d:,s:h,v:,.:,.:,s:,s:,.:,v:,.:,.:,.:,f:,f:
d:,d:,s:h,s:,s:,d:,s:,.:,.:,.:,s:,m:,f:,m:
d:,d:,d:,d:,d:,d:r,s:,.:,.:,.:,s:,s:,s:,s:
