s:,m:,.:,.:,f:,s:,s:,s:,.:,.:,m:,.:,f:,s:
.:,.:,.:,.:,.:,.:,.:,m:,.:,f:a,.:,f:,m:,s:
m:,.:,f:,.:,f:a,.:c,.:c,f:,f:r,f:a,c:2,m:,.:r,s:
f:,.:c,c:7,.:,.:,s:h,c:4,.:,f:,.:,f:,f:,m:,.:
.:f,f:,f:,m:o,f:,.:,s:h,f:,.:,m:,f:,.:,m:,.:
.:,m:,.:,m:,.:,.:,.:,f:a,m:,.:,.:,.:,f:,.:
f:,.:f,.:f,.:,.:,f:,.:c,v:,.:,f:,.:f,c:10,m:,.:
.:,.:,c:8,f:a,.:c,.:,.:c,.:,.:c,.:,.:f,f:,.:,f:
.:,.:f,.:c,.:,.:,s:h,.:,f:,f:,.:,.:,.:f,f:,f:
f:,m:r,f:,f:,.:,f:,m:,.:,.:,f:,f:,.:,.:,.:
.:,m:o,.:,f:,m:,.:f,f:,.:f,.:,m:,.:f,.:,.:,f:
.:r,.:,c:0,f:,f:,f:,c:1,.:c,.:,f:,c:9,f:,.:,f:
m:,f:a,.:,.:,.:,.:,m:,m:,m:,.:,f:,.:f,f:,m:
.:r,.:c,.:,.:,.:,.:,f:,.:,.:,f:,.:,.:f,.:,.:
