d:,s:,.:,f:,.:,.:,f:a,s:,d:r,s:h,s:h,s:h,s:,d:,d:,d:
d:,s:,.:,.:,m:,.:f,.:,s:,s:,m:,.:c,.:,.:,s:,d:,d:
d:,s:,.:,.:f,c:11,.:,.:c,f:,.:,.:,.:,v:,.:f,s:,d:,d:
d:,s:,.:,.:c,.:,.:,.:f,.:,.:,f:,.:,.:,.:,s:h,d:,d:
d:,s:,.:,m:,.:,.:,.:f,v:,.:c,.:,s:,s:,s:,d:,d:,d:
d:,d:,s:,.:,.:,m:,s:,s:,s:,s:,d:,d:,d:,d:,d:,d:
d:,d:,s:,.:f,f:,.:f,s:h,s:,s:,d:,d:w,d:,d:,d:,d:,d:
d:,d:,s:,.:,.:,v:,f:a,.:,.:,s:h,d:,d:,d:,d:,d:,d:
d:,d:w,s:h,s:,s:h,m:,.:c,.:c,v:,s:,s:,s:,s:,s:,d:,d:
d:,s:h,v:,m:,f:,.:f,f:,.:c,.:c,s:,f:,v:,.:,.:r,s:,d:
s:,f:,.:f,.:f,.:,.:f,.:c,.:,.:,s:,.:c,.:,.:c,.:,s:,d:
s:,.:,.:c,.:,.:f,.:,c:3,.:c,.:,s:,.:,.:r,.:,m:,s:h,d:
s:,.:,.:,v:,.:c,m:,.:,.:f,.:r,s:,s:,s:,s:,s:h,d:,d:w
s:,m:,.:,m:,.:f,.:,.:,f:,.:,s:,d:,d:w,s:,v:,s:,d:
s:,.:,.:,f:r,s:h,s:,s:,s:,s:,d:r,d:,d:,d:,s:,d:,d:
d:r,s:,s:,s:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:,d:
