d:r,d:,s:,f:,.:,.:,f:,f:a,f:,.:,.:,m:,.:,s:,d:,d:
d:,s:,.:,f:a,.:,f:,f:a,f:a,m:,.:,.:,f:,.:,s:h,s:h,s:
d:,s:,v:,f:,m:,c:5,.:c,m:r,.:,m:,c:9,.:f,m:,v:,.:,.:
d:,s:h,.:,.:,f:,f:,f:a,f:,f:,m:o,m:,.:,.:,.:,.:,.:c
s:h,s:,.:,.:f,.:,f:a,f:,f:,.:,.:,f:,.:,.:,.:,.:f,.:f
f:,f:,m:,.:,f:,.:,m:,.:,.:,.:,.:,.:,c:3,.:f,.:r,s:
m:,.:,f:,v:,.:,.:,f:,f:a,.:,.:c,f:,.:,.:c,.:,.:,s:
.:,f:,f:a,f:,.:,s:,f:,s:h,c:4,.:,.:,.:,.:,.:,.:r,s:
.:,f:,.:f,.:f,.:,.:,.:,f:,s:h,.:,.:f,f:,m:,.:f,.:f,f:
.:,f:,c:1,.:,m:,m:,.:r,.:,.:,f:,f:r,f:,m:,v:,.:,m:
f:,f:,m:,f:,.:,.:f,f:a,.:c,.:,.:,m:,.:,.:f,m:,f:,m:
.:,.:,.:f,m:,f:,v:,f:,f:,c:6,f:,f:,f:a,.:,.:,f:,s:h
f:,.:c,m:o,.:,.:,.:,m:,f:,.:c,f:,.:,.:,c:0,m:,.:,s:
.:,m:,c:8,.:,.:,.:,.:f,.:,f:,.:,f:,m:o,m:,f:a,.:,s:
.:,.:,m:,f:,.:,.:,m:,v:,.:,f:,.:,m:,.:,.:c,.:,s:
f:,.:,.:r,.:,.:,f:,.:,f:,m:,f:a,s:,s:,m:,m:,.:,s:
