d:w,s:,.:,f:,.:,s:,d:,d:,d:r,d:,d:,d:,d:,d:,d:,d:,d:,d:
d:,s:,.:,.:c,.:,s:,d:w,d:,d:,d:,s:h,s:h,s:h,s:,s:,s:,d:,d:
d:,s:,v:,.:,.:,s:h,s:,d:,d:,s:h,.:,v:,.:,.:c,.:f,.:f,s:,d:
d:,d:,s:h,s:h,s:,s:,v:,s:h,d:,s:,.:c,.:,.:f,.:c,v:,f:,s:,d:
d:,s:,s:,s:h,d:,d:,s:,d:,s:,f:,.:,.:,.:,.:c,.:c,f:,s:h,d:
s:,f:,.:f,.:f,s:,d:r,d:,d:,s:h,f:,.:,.:f,.:,.:,s:h,s:,d:,d:
s:,f:,f:,.:,s:,d:,s:,s:h,s:,f:,m:o,c:11,f:,.:c,s:h,d:,d:r,d:
s:,.:,v:,f:,s:,s:,v:,f:,f:,.:,f:,.:,.:f,f:,v:,s:h,d:,d:
d:w,s:h,s:h,s:h,s:,s:h,.:,m:,f:,.:c,.:,.:,.:,.:c,.:,s:h,d:,d:
s:,.:,f:a,.:,.:f,.:,.:,.:r,.:,v:,.:,f:,.:,.:,f:,s:,s:h,d:r
s:,m:,f:,m:,f:,f:,s:,s:,s:h,.:c,m:,.:f,.:f,.:,.:,v:,.:,s:
s:,f:,.:,c:10,.:f,f:,s:,d:,d:,s:,.:,.:c,v:,s:h,.:,.:,.:,s:h
s:,f:,.:f,f:,m:,.:,s:,d:,s:,.:r,.:,f:,.:c,.:,f:,.:,.:,s:h
s:,.:f,f:,f:,f:r,.:,s:,d:,s:,f:,.:,.:,.:,.:,.:,s:,s:,s:h
d:,s:,s:h,s:h,s:,s:,d:r,d:,s:h,v:,f:,m:,.:c,.:c,f:,.:c,.:,.:
d:,s:,v:,s:h,d:,d:,d:,d:,d:,s:,.:,m:,v:,s:h,s:h,v:,.:,f:r
d:,d:,s:,d:,d:,d:,d:,d:,d:,s:h,f:,.:,.:,s:h,s:,.:f,.:,.:
d:,d:,d:,d:,d:,d:,d:,d:,d:,s:,.:,.:,.:f,s:,d:,s:,s:h,s:h
