f:,.:f,.:,m:,f:,s:,s:,s:,d:,s:,.:f,.:,m:,.:c,.:f,f:a,s:,d:r
.:,f:,s:h,.:,.:,f:,f:,.:r,s:,s:,.:,.:c,.:c,.:,.:,m:,.:,s:
f:,.:,c:4,.:,f:,.:,m:,.:,.:,s:,v:,.:,.:c,c:8,.:c,.:,.:,s:
.:,f:,s:h,.:,.:,.:,m:o,.:,m:,f:a,s:,.:f,.:c,.:,.:,.:c,.:,s:
f:r,.:,.:,f:,f:a,.:c,c:7,.:,.:,.:c,m:,f:,.:c,.:,.:f,.:,s:,d:
.:,.:,.:,v:,.:,f:,f:,f:,.:c,m:o,v:,.:,f:,m:,v:,s:,d:,d:
.:,f:,.:f,.:c,f:,.:f,f:,f:,.:,f:,f:,f:,.:,f:,f:,s:,d:,d:
s:,.:,.:,.:,.:,.:,s:,.:,.:c,.:,.:c,.:,s:,s:,s:,s:h,s:h,s:h
s:,.:,.:,c:10,.:f,.:,s:,.:,.:,v:,.:,.:f,f:a,f:,s:h,f:a,v:,.:c
.:,.:,.:,.:f,f:,f:,.:,.:f,.:f,f:,.:,.:c,v:,.:,s:,.:,.:,f:
.:,f:,m:r,.:f,f:,.:f,f:,.:c,.:,.:f,.:,.:,.:c,.:,s:h,f:,m:,.:f
f:,.:,f:,.:,f:,f:,v:,.:,.:,c:11,m:,.:,.:,m:,s:h,s:h,s:,s:
s:,m:,f:,c:2,.:,.:f,.:,.:,.:,.:f,m:,.:c,s:,m:,v:,f:,s:,s:
s:,.:,f:a,f:a,m:,f:r,.:,.:,.:,.:,.:,.:,s:,.:,.:,m:o,.:,f:
s:,.:,.:r,.:,.:f,.:,.:,.:,.:,.:f,s:h,s:h,s:,m:o,.:,m:,f:,.:c
d:,s:,s:,s:h,v:,.:,f:,c:9,.:,f:,v:,f:a,f:,.:,.:f,c:0,f:,f:
d:,d:,d:,d:,s:,f:,m:o,f:,.:f,.:,.:,f:,m:,.:r,m:,m:o,m:,.:
d:,d:,d:,d:r,s:,f:,.:,.:,f:,m:,.:r,f:,f:,m:,.:f,.:,.:,m:
